DateTime,Precio €/m2,Variación anual,Anio
2026-01-02,15,"7,80%",2026
2026-01-01,15,"8,10%",2026
2025-01-12,"14,7","8,50%",2025
2025-01-11,"14,6","9,90%",2025
2025-01-10,"14,5","10,90%",2025
2025-01-09,"14,5","10,90%",2025
2025-01-08,"14,5","10,50%",2025
2025-01-07,"14,6","10,90%",2025
2025-01-06,"14,6","9,70%",2025
2025-01-05,"14,5","9,90%",2025
2025-01-04,"14,3","10,00%",2025
2025-01-03,14,"10,30%",2025
2025-01-02,14,n.d.,2025
2025-01-01,"13,8","11,80%",2025
2024-01-12,"13,5","11,50%",2024
2024-01-11,"13,3","11,10%",2024
2024-01-10,13,"10,20%",2024
2024-01-09,13,"10,20%",2024
2024-01-08,"13,1","9,80%",2024
2024-01-07,"13,1","10,40%",2024
2024-01-06,"13,4","13,20%",2024
2024-01-05,"13,2","13,40%",2024
2024-01-04,13,"13,00%",2024
2024-01-03,"12,7","12,60%",2024
2024-01-02,n.d.,n.d.,2024
2024-01-01,"12,4","10,80%",2024
2023-01-12,"12,1","10,10%",2023
2023-01-11,"11,9","9,20%",2023
2023-01-10,"11,8","9,40%",2023
2023-01-09,"11,8","9,30%",2023
2023-01-08,12,"9,50%",2023
2023-01-07,"11,9","9,30%",2023
2023-01-06,"11,8","9,20%",2023
2023-01-05,"11,6","9,40%",2023
2023-01-04,"11,5","8,90%",2023
2023-01-03,"11,3","7,90%",2023
2023-01-02,"11,2","8,00%",2023
2023-01-01,"11,2","7,80%",2023
2022-01-12,11,"7,20%",2022
2022-01-11,"10,9","6,20%",2022
2022-01-10,"10,8","5,50%",2022
2022-01-09,"10,8","5,30%",2022
2022-01-08,"10,9","5,00%",2022
2022-01-07,"10,9","4,30%",2022
2022-01-06,"10,8","3,40%",2022
2022-01-05,"10,6","1,60%",2022
2022-01-04,"10,5","0,20%",2022
2022-01-03,"10,5","-0,40%",2022
2022-01-02,"10,4","-0,90%",2022
2022-01-01,"10,4","-2,20%",2022
2021-01-12,"10,3","-3,80%",2021
2021-01-11,"10,3","-4,70%",2021
2021-01-10,"10,3","-4,90%",2021
2021-01-09,"10,3","-5,00%",2021
2021-01-08,"10,4","-4,70%",2021
2021-01-07,"10,4","-4,20%",2021
2021-01-06,"10,5","-4,00%",2021
2021-01-05,"10,5","-3,10%",2021
2021-01-04,"10,5","-2,00%",2021
2021-01-03,"10,5","-1,00%",2021
2021-01-02,"10,5","0,20%",2021
2021-01-01,"10,6","1,90%",2021
2020-01-12,"10,7","3,10%",2020
2020-01-11,"10,8","4,40%",2020
2020-01-10,"10,8","5,30%",2020
2020-01-09,"10,8","5,60%",2020
2020-01-08,"10,9","5,30%",2020
2020-01-07,"10,9","5,30%",2020
2020-01-06,"10,9","4,90%",2020
2020-01-05,"10,8","4,80%",2020
2020-01-04,"10,7","5,10%",2020
2020-01-03,"10,6","5,00%",2020
2020-01-02,"10,5","4,90%",2020
2020-01-01,"10,4","4,20%",2020
2019-01-12,"10,4","3,90%",2019
2019-01-11,"10,3","3,70%",2019
2019-01-10,"10,2","3,60%",2019
2019-01-09,"10,3","3,60%",2019
2019-01-08,"10,4","3,90%",2019
2019-01-07,"10,4","4,20%",2019
2019-01-06,"10,4","5,40%",2019
2019-01-05,"10,3","5,40%",2019
2019-01-04,"10,2","4,30%",2019
2019-01-03,"10,1","4,90%",2019
2019-01-02,10,"5,80%",2019
2019-01-01,10,"7,50%",2019
2018-01-12,10,"8,90%",2018
2018-01-11,10,"10,40%",2018
2018-01-10,"9,9","10,70%",2018
2018-01-09,"9,9","10,80%",2018
2018-01-08,10,"11,60%",2018
2018-01-07,"9,9","12,10%",2018
2018-01-06,"9,9","12,10%",2018
2018-01-05,"9,8","12,80%",2018
2018-01-04,"9,8","13,80%",2018
2018-01-03,"9,6","13,60%",2018
2018-01-02,"9,5","12,70%",2018
2018-01-01,"9,3","12,40%",2018
2017-01-12,"9,2","12,30%",2017
2017-01-11,9,"11,80%",2017
2017-01-10,"8,9","11,10%",2017
2017-01-09,"8,9","11,40%",2017
2017-01-08,"8,9","11,30%",2017
2017-01-07,"8,9","11,70%",2017
2017-01-06,"8,8","12,00%",2017
2017-01-05,"8,7","11,90%",2017
2017-01-04,"8,6","11,80%",2017
2017-01-03,"8,5","11,80%",2017
2017-01-02,"8,4","12,20%",2017
2017-01-01,"8,3","11,70%",2017
2016-01-12,"8,2","10,90%",2016
2016-01-11,"8,1","8,70%",2016
2016-01-10,8,"8,20%",2016
2016-01-09,8,"7,50%",2016
2016-01-08,8,"7,00%",2016
2016-01-07,"7,9","6,20%",2016
2016-01-06,"7,9","5,90%",2016
2016-01-05,"7,8","5,10%",2016
2016-01-04,"7,7","4,50%",2016
2016-01-03,"7,6","3,80%",2016
2016-01-02,"7,5","3,00%",2016
2016-01-01,"7,4","2,80%",2016
2015-01-12,"7,4","2,10%",2015
2015-01-11,"7,4","2,80%",2015
2015-01-10,"7,4","3,40%",2015
2015-01-09,"7,5","3,70%",2015
2015-01-08,"7,5","3,70%",2015
2015-01-07,"7,5","3,80%",2015
2015-01-06,"7,4","3,40%",2015
2015-01-05,"7,4","3,10%",2015
2015-01-04,"7,4","2,80%",2015
2015-01-03,"7,3","2,20%",2015
2015-01-02,"7,3","1,80%",2015
2015-01-01,"7,2","0,80%",2015
2014-01-12,"7,2","0,50%",2014
2014-01-11,"7,2","0,90%",2014
2014-01-10,"7,2","0,40%",2014
2014-01-09,"7,2","0,30%",2014
2014-01-08,"7,2","0,10%",2014
2014-01-07,"7,2","-0,20%",2014
2014-01-06,"7,2","-0,70%",2014
2014-01-05,"7,2","-0,80%",2014
2014-01-04,"7,2","-0,90%",2014
2014-01-03,"7,1","-1,80%",2014
2014-01-02,"7,1","-3,10%",2014
2014-01-01,"7,1","-3,40%",2014
2013-01-12,"7,2","-4,00%",2013
2013-01-11,"7,2","-5,60%",2013
2013-01-10,"7,1","-6,50%",2013
2013-01-09,"7,2","-7,30%",2013
2013-01-08,"7,2","-8,10%",2013
2013-01-07,"7,2","-8,90%",2013
2013-01-06,"7,2","-8,80%",2013
2013-01-05,"7,2","-9,10%",2013
2013-01-04,"7,2","-9,40%",2013
2013-01-03,"7,3","-9,40%",2013
2013-01-02,"7,4","-8,30%",2013
2013-01-01,"7,4","-8,10%",2013
2012-01-12,"7,5","-7,90%",2012
2012-01-11,"7,6","-7,30%",2012
2012-01-10,"7,6","-6,70%",2012
2012-01-09,"7,7","-5,60%",2012
2012-01-08,"7,9","-4,90%",2012
2012-01-07,"7,9","-3,70%",2012
2012-01-06,"7,9","-2,30%",2012
2012-01-05,"7,9","-0,70%",2012
2012-01-04,8,"0,50%",2012
2012-01-03,8,"1,90%",2012
2012-01-02,8,"3,20%",2012
2012-01-01,8,"3,10%",2012
