Fecha,Media mensual (%),mes_en,anio_num,DateTime,Anio
ene-99,3.062,Jan,99,1999-01-01,1999
feb-99,3.03,Feb,99,1999-02-01,1999
mar-99,3.046,Mar,99,1999-03-01,1999
abr-99,2.756,Apr,99,1999-04-01,1999
may-99,2.683,May,99,1999-05-01,1999
jun-99,2.836,Jun,99,1999-06-01,1999
jul-99,3.03,Jul,99,1999-07-01,1999
ago-99,3.237,Aug,99,1999-08-01,1999
sep-99,3.301,Sep,99,1999-09-01,1999
oct-99,3.684,Oct,99,1999-10-01,1999
nov-99,3.689,Nov,99,1999-11-01,1999
dic-99,3.826,Dec,99,1999-12-01,1999
ene-00,3.949,Jan,00,2000-01-01,2000
feb-00,4.111,Feb,00,2000-02-01,2000
mar-00,4.267,Mar,00,2000-03-01,2000
abr-00,4.365,Apr,00,2000-04-01,2000
may-00,4.849,May,00,2000-05-01,2000
jun-00,4.965,Jun,00,2000-06-01,2000
jul-00,5.105,Jul,00,2000-07-01,2000
ago-00,5.248,Aug,00,2000-08-01,2000
sep-00,5.219,Sep,00,2000-09-01,2000
oct-00,5.218,Oct,00,2000-10-01,2000
nov-00,5.193,Nov,00,2000-11-01,2000
dic-00,4.881,Dec,00,2000-12-01,2000
ene-01,4.574,Jan,01,2001-01-01,2001
feb-01,4.591,Feb,01,2001-02-01,2001
mar-01,4.471,Mar,01,2001-03-01,2001
abr-01,4.481,Apr,01,2001-04-01,2001
may-01,4.52,May,01,2001-05-01,2001
jun-01,4.312,Jun,01,2001-06-01,2001
jul-01,4.311,Jul,01,2001-07-01,2001
ago-01,4.108,Aug,01,2001-08-01,2001
sep-01,3.77,Sep,01,2001-09-01,2001
oct-01,3.369,Oct,01,2001-10-01,2001
nov-01,3.198,Nov,01,2001-11-01,2001
dic-01,3.298,Dec,01,2001-12-01,2001
ene-02,3.483,Jan,02,2002-01-01,2002
feb-02,3.594,Feb,02,2002-02-01,2002
mar-02,3.816,Mar,02,2002-03-01,2002
abr-02,3.86,Apr,02,2002-04-01,2002
may-02,3.963,May,02,2002-05-01,2002
jun-02,3.869,Jun,02,2002-06-01,2002
jul-02,3.645,Jul,02,2002-07-01,2002
ago-02,3.44,Aug,02,2002-08-01,2002
sep-02,3.236,Sep,02,2002-09-01,2002
oct-02,3.126,Oct,02,2002-10-01,2002
nov-02,3.017,Nov,02,2002-11-01,2002
dic-02,2.873,Dec,02,2002-12-01,2002
ene-03,2.705,Jan,03,2003-01-01,2003
feb-03,2.504,Feb,03,2003-02-01,2003
mar-03,2.411,Mar,03,2003-03-01,2003
abr-03,2.447,Apr,03,2003-04-01,2003
may-03,2.252,May,03,2003-05-01,2003
jun-03,2.014,Jun,03,2003-06-01,2003
jul-03,2.076,Jul,03,2003-07-01,2003
ago-03,2.279,Aug,03,2003-08-01,2003
sep-03,2.258,Sep,03,2003-09-01,2003
oct-03,2.303,Oct,03,2003-10-01,2003
