DateTime,Precio €/m2,Variación anual,Anio
2026-02-01,2673,"17,70%",2026
2026-01-01,2650,"18,40%",2026
2025-12-01,2639,"16,20%",2025
2025-11-01,2605,"16,10%",2025
2025-10-01,2555,"15,70%",2025
2025-09-01,2517,"15,30%",2025
2025-08-01,2498,"14,80%",2025
2025-07-01,2471,"14,70%",2025
2025-06-01,2438,"14,00%",2025
2025-05-01,2391,"12,80%",2025
2025-04-01,2350,"12,00%",2025
2025-03-01,2311,"11,20%",2025
2025-02-01,2271,n.d.,2025
2025-01-01,2237,"9,20%",2025
2024-12-01,2271,"11,20%",2024
2024-11-01,2244,"10,70%",2024
2024-10-01,2209,"9,60%",2024
2024-09-01,2182,"8,70%",2024
2024-08-01,2176,"8,60%",2024
2024-07-01,2153,"7,90%",2024
2024-06-01,2138,"7,50%",2024
2024-05-01,2120,"7,30%",2024
2024-04-01,2098,"6,90%",2024
2024-03-01,2079,"7,00%",2024
2024-02-01,n.d.,n.d.,2024
2024-01-01,2049,"8,20%",2024
2023-12-01,2042,"8,10%",2023
2023-11-01,2027,"7,00%",2023
2023-10-01,2016,"7,10%",2023
2023-09-01,2007,"7,50%",2023
2023-08-01,2004,"7,20%",2023
2023-07-01,1996,"7,20%",2023
2023-06-01,1990,"7,60%",2023
2023-05-01,1976,"7,10%",2023
2023-04-01,1963,"7,30%",2023
2023-03-01,1943,"7,30%",2023
2023-02-01,1918,"6,50%",2023
2023-01-01,1894,"4,80%",2023
2022-12-01,1888,"4,40%",2022
2022-11-01,1894,"4,60%",2022
2022-10-01,1883,"4,50%",2022
2022-09-01,1867,"3,90%",2022
2022-08-01,1870,"3,60%",2022
2022-07-01,1862,"3,20%",2022
2022-06-01,1849,"3,00%",2022
2022-05-01,1844,"3,30%",2022
2022-04-01,1829,"3,10%",2022
2022-03-01,1810,"2,50%",2022
2022-02-01,1801,"2,80%",2022
2022-01-01,1807,"2,70%",2022
2021-12-01,1809,"3,20%",2021
2021-11-01,1810,"3,60%",2021
2021-10-01,1802,"4,00%",2021
2021-09-01,1797,"4,40%",2021
2021-08-01,1805,"4,90%",2021
2021-07-01,1805,"5,20%",2021
2021-06-01,1795,"6,30%",2021
2021-05-01,1786,"4,10%",2021
2021-04-01,1775,"2,40%",2021
2021-03-01,1765,"1,70%",2021
2021-02-01,1752,"1,30%",2021
2021-01-01,1759,"1,40%",2021
2020-12-01,1754,"0,90%",2020
2020-11-01,1747,"0,70%",2020
2020-10-01,1733,"0,80%",2020
2020-09-01,1721,"0,50%",2020
2020-08-01,1721,"0,00%",2020
2020-07-01,1716,"0,30%",2020
2020-06-01,1688,"-1,10%",2020
2020-05-01,1716,"1,30%",2020
2020-04-01,1732,"2,40%",2020
2020-03-01,1736,"2,80%",2020
2020-02-01,1730,"2,80%",2020
2020-01-01,1735,"3,70%",2020
2019-12-01,1739,"4,10%",2019
2019-11-01,1734,"4,00%",2019
2019-10-01,1718,"4,00%",2019
2019-09-01,1713,"4,00%",2019
2019-08-01,1721,"4,60%",2019
2019-07-01,1711,"4,60%",2019
2019-06-01,1707,"5,20%",2019
2019-05-01,1693,"5,30%",2019
2019-04-01,1692,"5,60%",2019
2019-03-01,1689,"5,80%",2019
2019-02-01,1683,"6,50%",2019
2019-01-01,1673,"7,40%",2019
2018-12-01,1670,"7,80%",2018
2018-11-01,1668,"7,80%",2018
2018-10-01,1652,"7,40%",2018
2018-09-01,1647,"7,70%",2018
2018-08-01,1645,"7,20%",2018
2018-07-01,1635,"6,30%",2018
2018-06-01,1623,"6,90%",2018
2018-05-01,1608,"6,30%",2018
2018-04-01,1602,"5,50%",2018
2018-03-01,1596,"5,30%",2018
2018-02-01,1580,"4,60%",2018
2018-01-01,1558,"3,20%",2018
2017-12-01,1549,"2,70%",2017
2017-11-01,1548,"3,10%",2017
2017-10-01,1538,"2,90%",2017
2017-09-01,1529,"2,50%",2017
2017-08-01,1535,"1,90%",2017
2017-07-01,1538,"1,90%",2017
2017-06-01,1518,"0,40%",2017
2017-05-01,1512,"0,00%",2017
2017-04-01,1519,"0,10%",2017
2017-03-01,1515,"-0,40%",2017
2017-02-01,1510,"-0,80%",2017
2017-01-01,1510,"-0,80%",2017
2016-12-01,1509,"-1,00%",2016
2016-11-01,1501,"-1,60%",2016
2016-10-01,1494,"-2,00%",2016
2016-09-01,1491,"-2,10%",2016
2016-08-01,1506,"-1,40%",2016
2016-07-01,1509,"-2,30%",2016
2016-06-01,1512,"-2,30%",2016
2016-05-01,1512,"-2,70%",2016
2016-04-01,1518,"-2,20%",2016
2016-03-01,1522,"-2,10%",2016
2016-02-01,1522,"-2,00%",2016
2016-01-01,1522,"-2,30%",2016
2015-12-01,1524,"-2,60%",2015
2015-11-01,1525,"-2,40%",2015
2015-10-01,1525,"-1,70%",2015
2015-09-01,1522,"-1,80%",2015
2015-08-01,1527,"-1,90%",2015
2015-07-01,1544,"-1,50%",2015
2015-06-01,1547,"-1,50%",2015
2015-05-01,1554,"-1,40%",2015
2015-04-01,1551,"-1,20%",2015
2015-03-01,1554,"-2,00%",2015
2015-02-01,1553,"-3,70%",2015
2015-01-01,1558,"-3,70%",2015
2014-12-01,1564,"-3,60%",2014
2014-11-01,1563,"-4,00%",2014
2014-10-01,1552,"-4,70%",2014
2014-09-01,1551,"-5,10%",2014
2014-08-01,1557,"-5,10%",2014
2014-07-01,1568,"-5,10%",2014
2014-06-01,1571,"-5,30%",2014
2014-05-01,1576,"-5,40%",2014
2014-04-01,1569,"-6,00%",2014
2014-03-01,1585,"-5,90%",2014
2014-02-01,1613,"-4,60%",2014
2014-01-01,1617,"-4,70%",2014
2013-12-01,1622,"-5,60%",2013
2013-11-01,1628,"-6,30%",2013
2013-10-01,1627,"-7,10%",2013
2013-09-01,1634,"-6,90%",2013
2013-08-01,1641,"-8,00%",2013
2013-07-01,1652,"-8,70%",2013
2013-06-01,1659,"-9,00%",2013
2013-05-01,1667,"-9,20%",2013
2013-04-01,1670,"-10,00%",2013
2013-03-01,1685,"-9,80%",2013
2013-02-01,1691,"-10,30%",2013
2013-01-01,1696,"-11,10%",2013
2012-12-01,1718,"-10,70%",2012
2012-11-01,1738,"-10,60%",2012
2012-10-01,1752,"-10,10%",2012
2012-09-01,1754,"-10,10%",2012
2012-08-01,1783,"-9,50%",2012
2012-07-01,1810,"-8,70%",2012
2012-06-01,1823,"-8,30%",2012
2012-05-01,1835,"-7,80%",2012
2012-04-01,1855,"-6,80%",2012
2012-03-01,1869,"-6,10%",2012
2012-02-01,1886,"-4,40%",2012
2012-01-01,1908,"-3,30%",2012
2011-12-01,1924,"-2,60%",2011
2011-11-01,1944,"-1,40%",2011
2011-10-01,1948,"-0,30%",2011
2011-09-01,1951,"0,60%",2011
2011-08-01,1971,"1,80%",2011
2011-07-01,1982,"2,00%",2011
2011-06-01,1988,"3,30%",2011
2011-05-01,1990,"3,30%",2011
2011-04-01,1990,"3,90%",2011
2011-03-01,1991,"4,50%",2011
2011-02-01,1972,"4,30%",2011
2011-01-01,1973,"4,20%",2011
2010-12-01,1974,"4,20%",2010
2010-11-01,1971,"3,70%",2010
2010-10-01,1954,"3,00%",2010
2010-09-01,1939,"2,10%",2010
2010-08-01,1937,"1,70%",2010
