DateTime,Préstamos y créditos (TAE),Anio
2003-01-01,486,2003
2003-02-01,476,2003
2003-03-01,458,2003
2003-04-01,454,2003
2003-05-01,446,2003
2003-06-01,428,2003
2003-07-01,411,2003
2003-08-01,424,2003
2003-09-01,419,2003
2003-10-01,417,2003
2003-11-01,413,2003
2003-12-01,409,2003
2004-01-01,414,2004
2004-02-01,408,2004
2004-03-01,395,2004
2004-04-01,398,2004
2004-05-01,390,2004
2004-06-01,385,2004
2004-07-01,388,2004
2004-08-01,397,2004
2004-09-01,398,2004
2004-10-01,395,2004
2004-11-01,395,2004
2004-12-01,387,2004
2005-01-01,394,2005
2005-02-01,383,2005
2005-03-01,389,2005
2005-04-01,389,2005
2005-05-01,389,2005
2005-06-01,378,2005
2005-07-01,374,2005
2005-08-01,384,2005
2005-09-01,379,2005
2005-10-01,380,2005
2005-11-01,384,2005
2005-12-01,393,2005
2006-01-01,410,2006
2006-02-01,414,2006
2006-03-01,423,2006
2006-04-01,433,2006
2006-05-01,442,2006
2006-06-01,452,2006
2006-07-01,461,2006
2006-08-01,482,2006
2006-09-01,484,2006
2006-10-01,498,2006
2006-11-01,501,2006
2006-12-01,510,2006
2007-01-01,522,2007
2007-02-01,529,2007
2007-03-01,538,2007
2007-04-01,543,2007
2007-05-01,548,2007
2007-06-01,559,2007
2007-07-01,563,2007
2007-08-01,585,2007
2007-09-01,600,2007
2007-10-01,597,2007
2007-11-01,603,2007
2007-12-01,603,2007
2008-01-01,599,2008
2008-02-01,598,2008
2008-03-01,594,2008
2008-04-01,600,2008
2008-05-01,613,2008
2008-06-01,617,2008
2008-07-01,636,2008
2008-08-01,655,2008
2008-09-01,656,2008
2008-10-01,656,2008
2008-11-01,631,2008
2008-12-01,570,2008
2009-01-01,502,2009
2009-02-01,450,2009
2009-03-01,419,2009
2009-04-01,387,2009
2009-05-01,384,2009
2009-06-01,374,2009
2009-07-01,365,2009
2009-08-01,356,2009
2009-09-01,355,2009
2009-10-01,344,2009
2009-11-01,339,2009
2009-12-01,332,2009
2010-01-01,332,2010
2010-02-01,329,2010
2010-03-01,327,2010
2010-04-01,322,2010
2010-05-01,316,2010
2010-06-01,315,2010
2010-07-01,322,2010
2010-08-01,332,2010
2010-09-01,331,2010
2010-10-01,349,2010
2010-11-01,338,2010
2010-12-01,340,2010
2011-01-01,364,2011
2011-02-01,387,2011
2011-03-01,389,2011
2011-04-01,409,2011
2011-05-01,407,2011
2011-06-01,396,2011
2011-07-01,419,2011
2011-08-01,426,2011
2011-09-01,423,2011
2011-10-01,433,2011
2011-11-01,423,2011
2011-12-01,427,2011
2012-01-01,420,2012
2012-02-01,430,2012
2012-03-01,417,2012
2012-04-01,425,2012
2012-05-01,427,2012
2012-06-01,408,2012
2012-07-01,403,2012
2012-08-01,401,2012
2012-09-01,387,2012
2012-10-01,389,2012
2012-11-01,383,2012
2012-12-01,376,2012
2013-01-01,400,2013
2013-02-01,408,2013
2013-03-01,401,2013
2013-04-01,416,2013
2013-05-01,422,2013
2013-06-01,391,2013
2013-07-01,414,2013
2013-08-01,414,2013
2013-09-01,388,2013
2013-10-01,414,2013
2013-11-01,420,2013
2013-12-01,384,2013
2014-01-01,407,2014
2014-02-01,408,2014
2014-03-01,406,2014
2014-04-01,407,2014
2014-05-01,400,2014
2014-06-01,394,2014
2014-07-01,389,2014
2014-08-01,393,2014
2014-09-01,388,2014
2014-10-01,381,2014
2014-11-01,359,2014
2014-12-01,282,2014
2015-01-01,338,2015
