Mes,Precio €/m2,Variación anual
01/02/26,15,"7,80%"
01/01/26,15,"8,10%"
01/12/25,"14,7","8,50%"
01/11/25,"14,6","9,90%"
01/10/25,"14,5","10,90%"
01/09/25,"14,5","10,90%"
01/08/25,"14,5","10,50%"
01/07/25,"14,6","10,90%"
01/06/25,"14,6","9,70%"
01/05/25,"14,5","9,90%"
01/04/25,"14,3","10,00%"
01/03/25,14,"10,30%"
01/02/25,14,n.d.
01/01/25,"13,8","11,80%"
01/12/24,"13,5","11,50%"
01/11/24,"13,3","11,10%"
01/10/24,13,"10,20%"
01/09/24,13,"10,20%"
01/08/24,"13,1","9,80%"
01/07/24,"13,1","10,40%"
01/06/24,"13,4","13,20%"
01/05/24,"13,2","13,40%"
01/04/24,13,"13,00%"
01/03/24,"12,7","12,60%"
01/02/24,n.d.,n.d.
01/01/24,"12,4","10,80%"
01/12/23,"12,1","10,10%"
01/11/23,"11,9","9,20%"
01/10/23,"11,8","9,40%"
01/09/23,"11,8","9,30%"
01/08/23,12,"9,50%"
01/07/23,"11,9","9,30%"
01/06/23,"11,8","9,20%"
01/05/23,"11,6","9,40%"
01/04/23,"11,5","8,90%"
01/03/23,"11,3","7,90%"
01/02/23,"11,2","8,00%"
01/01/23,"11,2","7,80%"
01/12/22,11,"7,20%"
01/11/22,"10,9","6,20%"
01/10/22,"10,8","5,50%"
01/09/22,"10,8","5,30%"
01/08/22,"10,9","5,00%"
01/07/22,"10,9","4,30%"
01/06/22,"10,8","3,40%"
01/05/22,"10,6","1,60%"
01/04/22,"10,5","0,20%"
01/03/22,"10,5","-0,40%"
01/02/22,"10,4","-0,90%"
01/01/22,"10,4","-2,20%"
01/12/21,"10,3","-3,80%"
01/11/21,"10,3","-4,70%"
01/10/21,"10,3","-4,90%"
01/09/21,"10,3","-5,00%"
01/08/21,"10,4","-4,70%"
01/07/21,"10,4","-4,20%"
01/06/21,"10,5","-4,00%"
01/05/21,"10,5","-3,10%"
01/04/21,"10,5","-2,00%"
01/03/21,"10,5","-1,00%"
01/02/21,"10,5","0,20%"
01/01/21,"10,6","1,90%"
01/12/20,"10,7","3,10%"
01/11/20,"10,8","4,40%"
01/10/20,"10,8","5,30%"
01/09/20,"10,8","5,60%"
01/08/20,"10,9","5,30%"
01/07/20,"10,9","5,30%"
01/06/20,"10,9","4,90%"
01/05/20,"10,8","4,80%"
01/04/20,"10,7","5,10%"
01/03/20,"10,6","5,00%"
01/02/20,"10,5","4,90%"
01/01/20,"10,4","4,20%"
01/12/19,"10,4","3,90%"
01/11/19,"10,3","3,70%"
01/10/19,"10,2","3,60%"
01/09/19,"10,3","3,60%"
01/08/19,"10,4","3,90%"
01/07/19,"10,4","4,20%"
01/06/19,"10,4","5,40%"
01/05/19,"10,3","5,40%"
01/04/19,"10,2","4,30%"
01/03/19,"10,1","4,90%"
01/02/19,10,"5,80%"
01/01/19,10,"7,50%"
01/12/18,10,"8,90%"
01/11/18,10,"10,40%"
01/10/18,"9,9","10,70%"
01/09/18,"9,9","10,80%"
01/08/18,10,"11,60%"
01/07/18,"9,9","12,10%"
01/06/18,"9,9","12,10%"
01/05/18,"9,8","12,80%"
01/04/18,"9,8","13,80%"
01/03/18,"9,6","13,60%"
01/02/18,"9,5","12,70%"
01/01/18,"9,3","12,40%"
01/12/17,"9,2","12,30%"
01/11/17,9,"11,80%"
01/10/17,"8,9","11,10%"
01/09/17,"8,9","11,40%"
01/08/17,"8,9","11,30%"
01/07/17,"8,9","11,70%"
01/06/17,"8,8","12,00%"
