Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2026M01;191.315
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2025M12;193.802
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2025M11;200.881
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2025M10;221.889
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2025M09;198.828
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2025M08;155.256
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2025M07;209.132
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2025M06;194.105
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2025M05;206.134
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2025M04;185.546
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2025M03;213.557
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2025M02;201.723
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2025M01;200.517
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2024M12;175.019
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2024M11;188.742
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2024M10;231.839
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2024M09;194.867
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2024M08;159.390
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2024M07;190.241
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2024M06;176.807
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2024M05;154.437
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2024M04;192.366
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2024M03;165.548
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2024M02;189.891
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2024M01;193.749
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2023M12;140.725
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2023M11;179.882
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2023M10;167.934
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2023M09;153.602
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2023M08;166.809
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2023M07;170.432
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2023M06;192.002
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2023M05;200.641
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2023M04;158.410
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2023M03;206.826
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2023M02;182.643
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2023M01;188.278
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2022M12;153.720
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2022M11;187.190
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2022M10;169.188
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2022M09;176.600
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2022M08;180.050
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2022M07;178.530
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2022M06;196.732
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2022M05;212.320
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2022M04;173.762
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2022M03;229.518
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2022M02;200.614
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2022M01;189.196
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2021M12;179.355
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2021M11;185.297
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2021M10;169.544
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2021M09;179.091
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2021M08;177.135
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2021M07;184.665
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2021M06;194.393
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2021M05;185.855
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2021M04;175.684
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2021M03;201.401
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2021M02;178.560
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2021M01;155.711
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2020M12;151.590
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2020M11;165.218
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2020M10;158.510
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2020M09;153.512
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2020M08;137.259
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2020M07;145.523
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2020M06;113.261
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2020M05;76.051
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2020M04;88.961
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2020M03;141.140
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2020M02;195.049
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2020M01;185.181
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2019M12;138.325
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2019M11;153.992
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2019M10;170.934
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2019M09;144.274
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2019M08;152.396
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2019M07;184.192
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2019M06;168.316
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2019M05;195.620
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2019M04;171.590
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2019M03;193.612
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2019M02;187.258
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2019M01;200.111
