Fecha,Media mensual (%)
ene-99,3.0620
feb-99,3.0300
mar-99,3.0460
abr-99,2.7560
may-99,2.6830
jun-99,2.8360
jul-99,3.0300
ago-99,3.2370
sep-99,3.3010
oct-99,3.6840
nov-99,3.6890
dic-99,3.8260
ene-00,3.9490
feb-00,4.1110
mar-00,4.2670
abr-00,4.3650
may-00,4.8490
jun-00,4.9650
jul-00,5.1050
ago-00,5.2480
sep-00,5.2190
oct-00,5.2180
nov-00,5.1930
dic-00,4.8810
ene-01,4.5740
feb-01,4.5910
mar-01,4.4710
abr-01,4.4810
may-01,4.5200
jun-01,4.3120
jul-01,4.3110
ago-01,4.1080
sep-01,3.7700
oct-01,3.3690
nov-01,3.1980
dic-01,3.2980
ene-02,3.4830
feb-02,3.5940
mar-02,3.8160
abr-02,3.8600
may-02,3.9630
jun-02,3.8690
jul-02,3.6450
ago-02,3.4400
sep-02,3.2360
oct-02,3.1260
nov-02,3.0170
dic-02,2.8730
ene-03,2.7050
feb-03,2.5040
mar-03,2.4110
abr-03,2.4470
may-03,2.2520
jun-03,2.0140
jul-03,2.0760
ago-03,2.2790
sep-03,2.2580
oct-03,2.3030
nov-03,2.4100
dic-03,2.3810
ene-04,2.2160
feb-04,2.1630
mar-04,2.0550
abr-04,2.1630
may-04,2.2970
jun-04,2.4040
jul-04,2.3610
ago-04,2.3020
sep-04,2.3770
oct-04,2.3160
nov-04,2.3280
dic-04,2.3010
ene-05,2.3120
feb-05,2.3100
mar-05,2.3350
abr-05,2.2650
may-05,2.1930
jun-05,2.1030
jul-05,2.1680
ago-05,2.2230
sep-05,2.2190
oct-05,2.4140
nov-05,2.6840
dic-05,2.7830
ene-06,2.8330
feb-06,2.9140
mar-06,3.1050
abr-06,3.2210
may-06,3.3080
jun-06,3.4010
jul-06,3.5390
ago-06,3.6150
sep-06,3.7150
oct-06,3.7990
nov-06,3.8640
dic-06,3.9210
ene-07,4.0640
feb-07,4.0940
mar-07,4.1060
abr-07,4.2530
may-07,4.3730
jun-07,4.5050
jul-07,4.5640
ago-07,4.6660
sep-07,4.7240
oct-07,4.6470
nov-07,4.6070
dic-07,4.7930
ene-08,4.4980
feb-08,4.3490
mar-08,4.5900
abr-08,4.8200
may-08,4.9940
jun-08,5.3610
jul-08,5.3930
ago-08,5.3230
sep-08,5.3840
oct-08,5.2480
nov-08,4.3500
