Mes,Precio €/m2,Variación anual
01/02/26,2673,"17,70%"
01/01/26,2650,"18,40%"
01/12/25,2639,"16,20%"
01/11/25,2605,"16,10%"
01/10/25,2555,"15,70%"
01/09/25,2517,"15,30%"
01/08/25,2498,"14,80%"
01/07/25,2471,"14,70%"
01/06/25,2438,"14,00%"
01/05/25,2391,"12,80%"
01/04/25,2350,"12,00%"
01/03/25,2311,"11,20%"
01/02/25,2271,n.d.
01/01/25,2237,"9,20%"
01/12/24,2271,"11,20%"
01/11/24,2244,"10,70%"
01/10/24,2209,"9,60%"
01/09/24,2182,"8,70%"
01/08/24,2176,"8,60%"
01/07/24,2153,"7,90%"
01/06/24,2138,"7,50%"
01/05/24,2120,"7,30%"
01/04/24,2098,"6,90%"
01/03/24,2079,"7,00%"
01/02/24,n.d.,n.d.
01/01/24,2049,"8,20%"
01/12/23,2042,"8,10%"
01/11/23,2027,"7,00%"
01/10/23,2016,"7,10%"
01/09/23,2007,"7,50%"
01/08/23,2004,"7,20%"
01/07/23,1996,"7,20%"
01/06/23,1990,"7,60%"
01/05/23,1976,"7,10%"
01/04/23,1963,"7,30%"
01/03/23,1943,"7,30%"
01/02/23,1918,"6,50%"
01/01/23,1894,"4,80%"
01/12/22,1888,"4,40%"
01/11/22,1894,"4,60%"
01/10/22,1883,"4,50%"
01/09/22,1867,"3,90%"
01/08/22,1870,"3,60%"
01/07/22,1862,"3,20%"
01/06/22,1849,"3,00%"
01/05/22,1844,"3,30%"
01/04/22,1829,"3,10%"
01/03/22,1810,"2,50%"
01/02/22,1801,"2,80%"
01/01/22,1807,"2,70%"
01/12/21,1809,"3,20%"
01/11/21,1810,"3,60%"
01/10/21,1802,"4,00%"
01/09/21,1797,"4,40%"
01/08/21,1805,"4,90%"
01/07/21,1805,"5,20%"
01/06/21,1795,"6,30%"
01/05/21,1786,"4,10%"
01/04/21,1775,"2,40%"
01/03/21,1765,"1,70%"
01/02/21,1752,"1,30%"
01/01/21,1759,"1,40%"
01/12/20,1754,"0,90%"
01/11/20,1747,"0,70%"
01/10/20,1733,"0,80%"
01/09/20,1721,"0,50%"
01/08/20,1721,"0,00%"
01/07/20,1716,"0,30%"
01/06/20,1688,"-1,10%"
01/05/20,1716,"1,30%"
01/04/20,1732,"2,40%"
01/03/20,1736,"2,80%"
01/02/20,1730,"2,80%"
01/01/20,1735,"3,70%"
01/12/19,1739,"4,10%"
01/11/19,1734,"4,00%"
01/10/19,1718,"4,00%"
01/09/19,1713,"4,00%"
01/08/19,1721,"4,60%"
01/07/19,1711,"4,60%"
01/06/19,1707,"5,20%"
01/05/19,1693,"5,30%"
01/04/19,1692,"5,60%"
01/03/19,1689,"5,80%"
01/02/19,1683,"6,50%"
01/01/19,1673,"7,40%"
01/12/18,1670,"7,80%"
01/11/18,1668,"7,80%"
01/10/18,1652,"7,40%"
01/09/18,1647,"7,70%"
01/08/18,1645,"7,20%"
01/07/18,1635,"6,30%"
01/06/18,1623,"6,90%"
01/05/18,1608,"6,30%"
01/04/18,1602,"5,50%"
01/03/18,1596,"5,30%"
01/02/18,1580,"4,60%"
01/01/18,1558,"3,20%"
01/12/17,1549,"2,70%"
01/11/17,1548,"3,10%"
01/10/17,1538,"2,90%"
01/09/17,1529,"2,50%"
01/08/17,1535,"1,90%"
01/07/17,1538,"1,90%"
01/06/17,1518,"0,40%"
01/05/17,1512,"0,00%"
01/04/17,1519,"0,10%"
01/03/17,1515,"-0,40%"
01/02/17,1510,"-0,80%"
01/01/17,1510,"-0,80%"
01/12/16,1509,"-1,00%"
01/11/16,1501,"-1,60%"
01/10/16,1494,"-2,00%"
01/09/16,1491,"-2,10%"
01/08/16,1506,"-1,40%"
01/07/16,1509,"-2,30%"
01/06/16,1512,"-2,30%"
01/05/16,1512,"-2,70%"
01/04/16,1518,"-2,20%"
01/03/16,1522,"-2,10%"
01/02/16,1522,"-2,00%"
01/01/16,1522,"-2,30%"
01/12/15,1524,"-2,60%"
01/11/15,1525,"-2,40%"
01/10/15,1525,"-1,70%"
01/09/15,1522,"-1,80%"
01/08/15,1527,"-1,90%"
01/07/15,1544,"-1,50%"
01/06/15,1547,"-1,50%"
01/05/15,1554,"-1,40%"
01/04/15,1551,"-1,20%"
01/03/15,1554,"-2,00%"
01/02/15,1553,"-3,70%"
01/01/15,1558,"-3,70%"
01/12/14,1564,"-3,60%"
01/11/14,1563,"-4,00%"
01/10/14,1552,"-4,70%"
01/09/14,1551,"-5,10%"
01/08/14,1557,"-5,10%"
01/07/14,1568,"-5,10%"
01/06/14,1571,"-5,30%"
01/05/14,1576,"-5,40%"
01/04/14,1569,"-6,00%"
01/03/14,1585,"-5,90%"
01/02/14,1613,"-4,60%"
01/01/14,1617,"-4,70%"
01/12/13,1622,"-5,60%"
01/11/13,1628,"-6,30%"
01/10/13,1627,"-7,10%"
01/09/13,1634,"-6,90%"
01/08/13,1641,"-8,00%"
01/07/13,1652,"-8,70%"
01/06/13,1659,"-9,00%"
01/05/13,1667,"-9,20%"
01/04/13,1670,"-10,00%"
01/03/13,1685,"-9,80%"
01/02/13,1691,"-10,30%"
01/01/13,1696,"-11,10%"
01/12/12,1718,"-10,70%"
01/11/12,1738,"-10,60%"
01/10/12,1752,"-10,10%"
01/09/12,1754,"-10,10%"
01/08/12,1783,"-9,50%"
01/07/12,1810,"-8,70%"
