DateTime,Préstamos y créditos (TAE)
01/01/03,486
01/02/03,476
01/03/03,458
01/04/03,454
01/05/03,446
01/06/03,428
01/07/03,411
01/08/03,424
01/09/03,419
01/10/03,417
01/11/03,413
01/12/03,409
01/01/04,414
01/02/04,408
01/03/04,395
01/04/04,398
01/05/04,39
01/06/04,385
01/07/04,388
01/08/04,397
01/09/04,398
01/10/04,395
01/11/04,395
01/12/04,387
01/01/05,394
01/02/05,383
01/03/05,389
01/04/05,389
01/05/05,389
01/06/05,378
01/07/05,374
01/08/05,384
01/09/05,379
01/10/05,38
01/11/05,384
01/12/05,393
01/01/06,41
01/02/06,414
01/03/06,423
01/04/06,433
01/05/06,442
01/06/06,452
01/07/06,461
01/08/06,482
01/09/06,484
01/10/06,498
01/11/06,501
01/12/06,51
01/01/07,522
01/02/07,529
01/03/07,538
01/04/07,543
01/05/07,548
01/06/07,559
01/07/07,563
01/08/07,585
01/09/07,6
01/10/07,597
01/11/07,603
01/12/07,603
01/01/08,599
01/02/08,598
01/03/08,594
01/04/08,6
01/05/08,613
01/06/08,617
01/07/08,636
01/08/08,655
01/09/08,656
01/10/08,656
01/11/08,631
01/12/08,57
01/01/09,502
01/02/09,45
01/03/09,419
01/04/09,387
01/05/09,384
01/06/09,374
01/07/09,365
01/08/09,356
01/09/09,355
01/10/09,344
01/11/09,339
01/12/09,332
01/01/10,332
01/02/10,329
01/03/10,327
01/04/10,322
01/05/10,316
01/06/10,315
01/07/10,322
01/08/10,332
01/09/10,331
01/10/10,349
01/11/10,338
01/12/10,34
01/01/11,364
01/02/11,387
01/03/11,389
01/04/11,409
01/05/11,407
01/06/11,396
01/07/11,419
01/08/11,426
01/09/11,423
01/10/11,433
01/11/11,423
01/12/11,427
01/01/12,42
01/02/12,43
01/03/12,417
01/04/12,425
01/05/12,427
01/06/12,408
01/07/12,403
01/08/12,401
01/09/12,387
01/10/12,389
01/11/12,383
01/12/12,376
01/01/13,4
01/02/13,408
01/03/13,401
01/04/13,416
01/05/13,422
01/06/13,391
01/07/13,414
01/08/13,414
01/09/13,388
01/10/13,414
01/11/13,42
01/12/13,384
01/01/14,407
01/02/14,408
01/03/14,406
01/04/14,407
01/05/14,4
01/06/14,394
01/07/14,389
01/08/14,393
01/09/14,388
01/10/14,381
01/11/14,359
01/12/14,282
01/01/15,338
01/02/15,32
01/03/15,292
01/04/15,309
01/05/15,295
01/06/15,289
01/07/15,281
01/08/15,276
01/09/15,286
01/10/15,288
01/11/15,285
01/12/15,266
01/01/16,292
01/02/16,264
01/03/16,273
01/04/16,286
01/05/16,265
01/06/16,248
01/07/16,27
01/08/16,254
01/09/16,265
01/10/16,274
01/11/16,263
01/12/16,243
01/01/17,27
01/02/17,251
01/03/17,252
01/04/17,27
01/05/17,256
01/06/17,245
01/07/17,257
01/08/17,252
01/09/17,252
01/10/17,273
01/11/17,254
01/12/17,229
01/01/18,233
01/02/18,24
01/03/18,234
01/04/18,247
01/05/18,231
01/06/18,23
01/07/18,24
01/08/18,239
01/09/18,234
01/10/18,247
01/11/18,25
01/12/18,221
01/01/19,245
01/02/19,239
01/03/19,243
01/04/19,256
01/05/19,234
01/06/19,215
01/07/19,247
01/08/19,227
01/09/19,229
01/10/19,254
01/11/19,226
01/12/19,194
01/01/20,256
01/02/20,229
01/03/20,191
01/04/20,189
01/05/20,205
01/06/20,203
01/07/20,239
01/08/20,227
01/09/20,216
01/10/20,236
01/11/20,212
01/12/20,2
01/01/21,232
01/02/21,209
01/03/21,204
01/04/21,238
01/05/21,212
01/06/21,201
01/07/21,229
01/08/21,211
01/09/21,203
01/10/21,228
01/11/21,196
01/12/21,167
01/01/22,214
01/02/22,175
01/03/22,177
01/04/22,196
01/05/22,194
01/06/22,208
01/07/22,237
01/08/22,228
01/09/22,288
01/10/22,363
01/11/22,365
01/12/22,386
01/01/23,444
01/02/23,453
01/03/23,461
01/04/23,508
01/05/23,499
01/06/23,508
01/07/23,548
01/08/23,552
01/09/23,547
01/10/23,578
01/11/23,549
01/12/23,542
01/01/24,556
01/02/24,529
01/03/24,521
01/04/24,543
01/05/24,524
01/06/24,506
01/07/24,518
01/08/24,508
01/09/24,482
01/10/24,485
01/11/24,447
01/12/24,429
01/01/25,443
01/02/25,419
01/03/25,394
01/04/25,404
01/05/25,381
01/06/25,36
01/07/25,385
01/08/25,377
01/09/25,368
01/10/25,386
01/11/25,374
01/12/25,365
01/01/26,393
